month,avg_close,monthly_low,monthly_high,total_volume
2000-06,43.27,37.47,48.5,176389000
2000-07,40.8,34,47.5,196984600
2000-08,33.06,27,38.25,250322000
2000-09,28.82,23,38.25,176186500
2000-10,21.62,16.19,26,223975700
2000-11,20.8,14.69,25.44,128519300
2000-12,15.28,13.56,18.19,125858400
2001-01,19.57,14.13,25.1,159683400
2001-02,23.6,20.51,26.75,130838700
2001-03,24.94,19.65,30.15,184234500
2001-04,25.25,18.73,32.15,229970800
2001-05,30.69,27.05,34.65,177020400
2001-06,27.55,23.56,31.79,149482200
2001-07,20.48,15.31,30.2,191377500
2001-08,15.79,13,19.9,138484400
2001-09,10.01,7.8,13.4,117454100
2001-10,9.48,7.69,11.39,119200700
2001-11,13.23,9.95,14.67,144754800
2001-12,16.5,13.39,18.62,141235200
2002-01,17.75,14.96,20.6,186799800
2002-02,14.34,12.63,15.98,120825500
2002-03,14.94,13.78,17.28,107391900
2002-04,12.92,10.95,15.3,133431100
2002-05,11.62,10.4,12.95,100840400
2002-06,9.6,7.95,11.41,137478900
2002-07,8.71,7.46,10.3,111618400
2002-08,9.06,7.01,10.88,110296000
2002-09,7.01,5.2,8.69,118764300
2002-10,4.74,3.1,6.45,211607900
2002-11,6.8,5.44,9.1,286594000
2002-12,7.28,6.18,9.6,200971700
2003-01,6.39,4.99,7.79,203923100
2003-02,5.2,4.78,5.67,94819000
2003-03,6.04,5.1,7.24,154559400
2003-04,7.48,6,8.59,219445600
2003-05,7.33,6.8,7.88,139247600
2003-06,6.66,5.8,7.39,206623100
2003-07,7.13,6.25,7.52,144233300
2003-08,8.62,7.07,11.36,230096800
2003-09,11.86,10.52,12.87,307099200
2003-10,13.54,11.01,15.56,273043900
2003-11,17.23,15.42,18.5,247003800
2003-12,15.32,13.8,18.39,267280600
2004-01,15.58,14.25,17.5,279096000
2004-02,14.81,13.6,15.85,191274800
2004-03,15.15,13.7,16.4,234984300
2004-04,16.35,13.98,17.6,235253900
2004-05,14.62,13.65,15.55,189583500
2004-06,15.27,14.06,16.35,201887900
2004-07,13.33,11.03,15.9,275641400
2004-08,11.63,10.76,12.44,161423500
2004-09,12.26,10.76,13.23,189707100
2004-10,14.68,13.09,16.85,242795000
2004-11,19.63,16.45,22.49,302808300
2004-12,22.41,20.51,24.95,244518300
2005-01,16.9,14.63,22.3,393453500
2005-02,17.34,15.85,18.45,202230300
2005-03,16.47,15.11,18.02,172862500
2005-04,15.57,14.08,17.5,216557300
2005-05,15.49,14.21,16.62,128537300
2005-06,17.38,16.3,18.34,165349200
2005-07,19.57,17.22,20.84,172963700
2005-08,20.57,19.82,21.3,130359000
2005-09,23.03,20.69,25.75,206500600
2005-10,22.57,20.22,26.07,262994400
2005-11,25.42,22.78,27.36,230878600
2005-12,28.46,25.25,31.84,202885200
2006-01,36.01,30.88,42.01,405342700
2006-02,40.45,38.32,42.42,242927000
2006-03,35.87,32.59,42.7,445050900
2006-04,32.98,29.97,35.75,344974900
2006-05,32.24,29.68,34.96,324838800
2006-06,26.18,23.46,31.92,340982000
2006-07,21.04,16.9,24.72,422223600
2006-08,22.26,18.84,25.72,458123200
2006-09,26.07,23.72,27.9,401445700
2006-10,22.95,20,25.69,649272200
2006-11,21.38,20.56,22.33,389191100
2006-12,21.11,19.9,23,416644900
2007-01,17.96,15.52,20.63,632791700
2007-02,15.08,14.43,15.91,505937100
2007-03,13.81,12.96,14.98,510042200
2007-04,13.68,12.6,14.75,677886200
2007-05,14.52,13,15.95,604659300
2007-06,14.04,13.28,14.88,544825300
2007-07,14.86,13.39,16.19,642584900
2007-08,12.49,11.27,13.63,635797600
2007-09,13.11,12.55,13.92,393654700
2007-10,13.54,12.55,14.73,481709400
2007-11,11.82,9.65,13.8,503212900
2007-12,8.38,7.26,9.9,598480900
2008-01,6.76,5.31,7.79,785177400
2008-02,6.89,6.22,8.08,469176500
2008-03,6.36,5.76,7.21,454783500
2008-04,6.08,5.61,6.48,509054300
2008-05,6.93,5.97,7.48,469607800
2008-06,7,5.67,7.98,531728900
2008-07,4.82,4.11,5.84,594637700
2008-08,5.43,4.05,6.35,438351400
2008-09,5.44,3,6.47,460925700
2008-10,3.85,2.65,5.56,644021600
2008-11,2.63,1.62,3.87,342099200
2008-12,2.15,1.92,2.37,318103700
2009-01,2.34,1.86,2.85,314953000
2009-02,2.21,2,2.51,256044900
2009-03,2.67,2.01,3.78,373265200
2009-04,3.47,2.92,3.92,341310700
2009-05,4.3,3.55,4.84,432645900
2009-06,4.19,3.43,4.9,485302200
2009-07,3.71,3.22,4.25,534541100
2009-08,3.8,3.47,4.55,416458300
2009-09,5.45,4.13,6.3,735800000
2009-10,5.6,4.55,6.36,669105800
2009-11,6.09,4.33,7.33,744345500
2009-12,8.9,7.01,10.04,610098700
2010-01,8.79,7.3,9.9,539405700
2010-02,7.79,6.98,8.2,349645100
2010-03,8.97,7.94,9.74,362325900
2010-04,9.62,9.06,10.24,545403600
2010-05,8.65,7.68,9.78,714882100
2010-06,8.25,7.3,9.19,600646700
2010-07,7.53,6.96,8.25,708138000
2010-08,6.61,5.53,7.77,670320000
2010-09,6.3,5.67,7.44,643928600
2010-10,7.1,6.77,7.68,602273500
2010-11,7.59,7.24,8.24,430132400
2010-12,8.01,7.37,8.43,345150800
2011-01,8.17,7.34,9.25,661252800
2011-02,8.65,8.03,9.58,559169900
2011-03,8.69,7.93,9.39,431229300
2011-04,8.49,8.01,9.14,349835500
2011-05,8.72,8.31,9.17,307639900
2011-06,7.4,6.72,8.68,468109800
2011-07,6.95,6.09,7.87,511986100
2011-08,6.43,5.6,7.58,582782600
2011-09,6.51,5.07,7.44,546673900
2011-10,4.95,4.31,6.05,489208600
2011-11,5.51,4.96,6,374278500
2011-12,5.36,4.82,5.84,246292700
2012-01,6.08,5.35,6.95,348780400
2012-02,7.25,6.8,7.68,315144700
2012-03,7.8,6.76,8.35,340485500
2012-04,7.7,7.21,8.24,346033400
2012-05,6.63,5.89,7.72,356499800
2012-06,5.74,5.32,6.14,305370800
2012-07,4.8,3.98,6.08,422901800
2012-08,4.04,3.6,4.47,378898100
2012-09,3.61,3.22,4.02,596182800
2012-10,2.72,2.03,3.41,673971900
2012-11,1.99,1.81,2.35,589473800
2012-12,2.39,2.21,2.59,505946700
2013-01,2.65,2.43,2.93,578923500
2013-02,2.62,2.44,2.84,288580100
2013-03,2.56,2.36,2.75,256612600
2013-04,2.51,2.26,2.82,405342300
2013-05,3.91,2.79,4.42,956205200
2013-06,4.01,3.81,4.21,432452200
2013-07,4.04,3.58,4.65,887955000
2013-08,3.63,3.25,3.87,436575700
2013-09,3.75,3.25,4,549781400
2013-10,3.64,3.04,4.13,909573300
2013-11,3.41,3.2,3.68,312102400
2013-12,3.7,3.48,3.88,313148800
2014-01,3.93,3.35,4.6,770422000
2014-02,3.61,3.29,3.77,317509100
2014-03,3.89,3.6,4.14,451073000
2014-04,3.98,3.65,4.35,592512300
2014-05,4.02,3.85,4.24,310712200
2014-06,4.15,3.9,4.5,431502500
2014-07,4.11,3.67,4.8,1077778500
2014-08,4.14,3.87,4.32,462568300
2014-09,3.88,3.4,4.25,372572500
2014-10,2.88,2.54,3.46,673408400
2014-11,2.75,2.59,2.91,213816500
2014-12,2.61,2.35,2.82,303879500
2015-01,2.57,2.14,2.84,435408400
2015-02,3.04,2.65,3.37,339665200
2015-03,2.83,2.53,3.23,269815500
2015-04,2.55,2.25,2.94,335187000
2015-05,2.3,2.2,2.39,210397100
2015-06,2.41,2.25,2.67,389269100
2015-07,1.96,1.61,2.63,406747300
2015-08,1.88,1.65,2.21,252729100
2015-09,1.8,1.65,2.14,188468000
